H_obs,dhdx,a,x
737.159564498323,0.0493738115011974,-5.16634430673295e-08,1621.95863398444
778.728622262908,0.0530083925655991,-8.4133026420283e-08,1622.25358918247
819.523638400531,0.0557483803892476,-1.18718536410048e-07,1622.5485443805
842.776660855459,0.0576949480630938,-1.5484932619499e-07,1622.84349957854
877.01405455808,0.0589413080101819,-1.91895458764618e-07,1623.13845477657
894.682140346428,0.0594846761142377,-2.29220092041703e-07,1623.4334099746
917.024123581933,0.0601784245454569,-2.66243549170882e-07,1623.72836517263
930.698423431089,0.0610655942732374,-3.02518381908375e-07,1624.02332037067
956.51811265402,0.061749965146511,-3.37814118150441e-07,1624.3182755687
973.957438558884,0.0619309397343674,-3.71947846640834e-07,1624.61323076673
993.190308992772,0.0614208096686218,-4.04781373345791e-07,1624.90818596477
1015.66122267174,0.0602209670074846,-4.36215014797312e-07,1625.2031411628
1065.80005278892,0.0583125559093114,-4.66179095448314e-07,1625.49809636083
1107.18994772653,0.0554910362589558,-4.94624782289771e-07,1625.79305155887
1140.21615231102,0.052548848358594,-5.21516485961646e-07,1626.0880067569
1188.70830417414,0.0497836677971705,-5.46828654618184e-07,1626.38296195493
1246.02243785917,0.0472895626791666,-5.70543075752212e-07,1626.67791715297
1284.05511705728,0.0450939422431482,-5.9264676659806e-07,1626.972872351
1322.32742238492,0.043281689763668,-6.131304374023e-07,1627.26782754903
1354.6352298191,0.0422618854710506,-6.3198742954263e-07,1627.56278274707
1380.16676878785,0.0416383092141324,-6.49212982538984e-07,1627.8577379451
1392.68170210865,0.0413127097439525,-6.64803694052799e-07,1628.15269314313
1399.64987660445,0.0412317554790566,-6.78757130979836e-07,1628.44764834117
1398.51058714131,0.0413119885620148,-6.91071552672496e-07,1628.7426035392
1404.72619845862,0.0414402099685453,-7.01745714068191e-07,1629.03755873723
1399.27018969823,0.0414118795834081,-7.10778724823221e-07,1629.33251393527
1417.96871210344,0.0412269974066971,-7.18169948202623e-07,1629.6274691333
1425.40936191629,0.0409900098926977,-7.23918928799816e-07,1629.92242433133
1419.50792140508,0.0408149942545003,-7.28025340898786e-07,1630.21737952936
1428.10062594914,0.0407866384911829,-7.30488951550607e-07,1630.5123347274
1420.98601872737,0.0409521141940108,-7.3130959415411e-07,1630.80728992543
1425.70315208907,0.0413209364779324,-7.30487149556583e-07,1631.10224512346
1406.1417618696,0.0419274739514046,-7.28021532539868e-07,1631.3972003215
1399.79547251418,0.0425628337057942,-7.23912682156214e-07,1631.69215551953
1374.4914693163,0.0431588560592175,-7.18160554816157e-07,1631.98711071756
1360.9994436464,0.0436869016313567,-7.10765119344713e-07,1632.2820659156
1344.47304765599,0.0441632582915911,-7.0172635344563e-07,1632.57702111363
1337.87499532689,0.0445851881991509,-6.91044241172706e-07,1632.87197631166
1327.06055331272,0.0448839541370597,-6.78718771121285e-07,1633.1669315097
1313.23548033438,0.0451640025596694,-6.64749935134805e-07,1633.46188670773
1309.89198951467,0.0454327475171239,-6.49137727379721e-07,1633.75684190576
1299.59082794017,0.0456225022710288,-6.31882143683907e-07,1634.0517971038
1283.46839921183,0.0456819363715948,-6.12983181063474e-07,1634.34675230183
1275.5085125184,0.0455879801557275,-5.92440837384355e-07,1634.64170749986
1281.52064380286,0.0453750022319508,-5.70255111120275e-07,1634.9366626979
1279.06586993789,0.0450360526408474,-5.46426001179648e-07,1635.23161789593
1275.13816725521,0.0444730029408542,-5.20953506781776e-07,1635.52657309396
1270.22380946436,0.043821226608932,-4.93837627368306e-07,1635.821528292
1265.50970775404,0.0431345209367428,-4.65078362539907e-07,1636.11648349003
1250.81017834639,0.042429178313293,-4.34675712010979e-07,1636.41143868806
1255.70596316775,0.0416844823647069,-4.02629675577261e-07,1636.70639388609
1238.43352620996,0.0408757319125486,-3.68940253092668e-07,1637.00134908413
1220.47897271619,0.0401991838401173,-3.33607444452719e-07,1637.29630428216
1212.89612220779,0.0395871514089164,-2.9663124958269e-07,1637.59125948019
1185.83286726753,0.0390208799077843,-2.5801166842914e-07,1637.88621467823
1153.48182751192,0.0384574805955897,-2.17748700953846e-07,1638.18116987626
1116.74822811893,0.0379134506723867,-1.77234660622268e-07,1638.47612507429
1064.93757768034,0.0374590423731459,-1.38100887404363e-07,1638.77108027233
998.145639105621,0.0369961272562056,-1.02212270522117e-07,1639.06603547036
943.55243643697,0.0365247053215895,-7.16543708435838e-08,1639.36099066839
864.234686486423,0.0363244263413701,-4.87122672421626e-08,1639.65594586643
